Permission,Original Description,DecribeCtx-Ctx Descritpion,Checked,DecribeCtx Descritpion,Checked,Code2Vec Descritpion,Checked,User Num
CALENDAR,create events today,write event calendar,0.5,add event to your calendar,1.0,set your calendar to calendar,0.0,4
CALENDAR,view and rsvp to public events; and add events to your phone calendars,you can add events to your device calendar,0.25,you can add events to your device calendar,0.25,you can use calendar to set calendar,0.5,4
CALENDAR,schedule service with your participating dealer,add events and add to your calendar,0.5,add events and add to your calendar,0.5,add events and add to your calendar,0.5,4
CALENDAR,football game will be added to your calendar and update,access calendar,0.0,access calendar to write calendar event,1.0,set your calendar to calendar,0.0,5
CALENDAR,This app provides class schedules,write event calendar,0.0,add event to your calendar,1.0,set your calendar to calendar,0.0,5
CALENDAR,you can view all schedules in calendar; or create a schedule.,you can write event calendar,0.4,access calendar,0.0,access calendar,0.0,5
CALENDAR,access events; calendars; contacts; maps and more!,access access calendar events,0.5,set your calendar to calendar,0.0,set your calendar to calendar,0.0,6
CALENDAR,Download the app today to plan and schedule your classes,write event calendar,0.6666666666666666,set calendar of your calendar,0.8333333333333334,set calendar of your calendar,0.8333333333333334,6
CALENDAR,read; add or modify calendar events; also backup and restore calendar,add add add event to the calendar,0.6,set your calendar to calendar,0.0,set your calendar to calendar,0.0,5
CALENDAR,add your ticket bookings to your device's calendar to get notifications and integrate with your existing schedule,you can add event and add calendar,1.0,you can add event and add calendar,1.0,access your calendar,0.0,4
CALENDAR,schedule management; display schedule on calendar,you can write event calendar,0.5,you can write event calendar,0.5,you can write event calendar,0.5,6
CALENDAR,manage room bookings via calendar,you can write to your calendar,0.8333333333333334,app uses read calendar to read calendar,0.6666666666666666,send your calendar to calendar and make events,0.3333333333333333,6
CALENDAR,Set reminders for live broadcasts so you don't miss a program you love,add to calendar set up reminder,0.6666666666666666,add to calendar set up reminder,0.6666666666666666,add to calendar set up reminder,0.6666666666666666,3
CALENDAR,the event calendar is also easily accessible from the app,access calendar read event notification,0.6666666666666666,access calendar read event notification,0.6666666666666666,access calendar read event notification,0.6666666666666666,3
CALENDAR,import your appointments to calendar and mark them as mute events,the app uses your calendar,0.6,the app uses your calendar,0.6,the app uses your calendar,0.6,5
CALENDAR,set training calendars; reminders,you can add event and add calendar,0,you can add event and add calendar,0,set calendar of your calendar,0,0
CALENDAR,notification academic calendar events and institutional notices,the app can read calendar and add calendar events,0.6666666666666666,the app can read calendar and add calendar events,0.6666666666666666,access calendar,0.6666666666666666,3
CALENDAR,check out what?'?s on to plan your calendar and buy tickets to events,set calendar of your calendar,0.16666666666666666,write event to calendar of your device,0.5,set calendar of your calendar,0.16666666666666666,6
CALENDAR,find incidents near your calendar events,you can send calendar and make events,0.2,get location and gps data read calendar,0.6,you can send calendar and make events,0.2,5
CALENDAR,access to calendar to link up group member calendar,insert to calendar events and calendar,0.4,you can use calendar to set calendar,0.4,you can use calendar to set calendar,0.4,5
