Permission,Original Description,DecribeCtx-Ctx Descritpion,Semantic Rating,Syntax rating,Length rating,DecribeCtx Descritpion,Semantic Rating,Syntax rating,Length rating,Code2Vec Descritpion,Semantic Rating,Syntax rating,Length rating
CALENDAR,create events today,write event calendar,5,3,5,add event to your calendar,5,4,4,set your calendar to calendar,3,3,4
CALENDAR,view and rsvp to public events; and add events to your phone calendars,the app uses calendar to read calendar,3,4,3,you can add events to your device calendar,4,5,3,you can use calendar to set calendar,3,4,3
CALENDAR,schedule service with your participating dealer,you can use calendar,4,5,4,add events and add to your calendar,4,3,5,you can send calendar and make events,4,5,5
CALENDAR,football game will be added to your calendar and update,access calendar,3,4,3,access calendar to write calendar event,4,5,4,set your calendar to calendar,3,3,4
CALENDAR,This app provides class schedules,write event calendar,2,4,3,add event to your calendar,2,5,5,set your calendar to calendar,2,3,5
CALENDAR,you can view all schedules in calendar; or create a schedule.,you can write event calendar,4,3,4,you can read calendar and add event to calendar,5,4,5,access calendar,3,3,3
CALENDAR,access events; calendars; contacts; maps and more!,access access calendar events,4,3,4,app uses read calendar to read calendar,3,3,5,set your calendar to calendar,3,3,4
CALENDAR,Download the app today to plan and schedule your classes,write event calendar,2,4,1,add event to your calendar,2,5,2,set calendar of your calendar,2,3,2
CALENDAR,read; add or modify calendar events; also backup and restore calendar,add add add event to the calendar,3,1,4,you can add events to your device calendar,4,5,4,set your calendar to calendar,3,2,4
CALENDAR,add your ticket bookings to your device's calendar to get notifications and integrate with your existing schedule,access your calendar,3,4,2,you can add event and add calendar,4,4,3,access your calendar,3,4,2
CALENDAR,schedule management; display schedule on calendar,you can write event calendar,4,3,5,app uses read calendar to read calendar,4,3,5,you can write event calendar,4,3,5
CALENDAR,manage room bookings via calendar,you can write to your calendar,3,5,4,app uses read calendar to read calendar,3,3,4,send your calendar to calendar and make events,3,3,3
CALENDAR,Set reminders for live broadcasts so you don't miss a program you love,you can write event calendar,2,5,2,add to calendar set up reminder,3,4,2,access calendar,2,4,1
CALENDAR,the event calendar is also easily accessible from the app,access calendar,4,4,1,access calendar read event notification,4,4,2,access calendar,4,4,1
CALENDAR,import your appointments to calendar and mark them as mute events,the app uses your calendar,3,5,4,add events and add to your calendar,4,4,4,the app uses your calendar,3,5,4
CALENDAR,set training calendars; reminders,access calendar,2,3,3,you can add event and add calendar,3,3,5,set calendar of your calendar,2,2,4
CALENDAR,notification academic calendar events and institutional notices,you can write to your calendar,3,5,5,the app can read calendar and add calendar events,3,5,4,access calendar,3,4,1
CALENDAR,check out what?'?s on to plan your calendar and buy tickets to events,the app uses calendar to read calendar,4,3,4,write event to calendar of your device,3,5,4,set calendar of your calendar,3,2,3
CALENDAR,find incidents near your calendar events,calendar access,3,4,1,get location and gps data read calendar,3,4,5,you can send calendar and make events,3,5,5
CALENDAR,access to calendar to link up group member calendar,insert to calendar events and calendar,2,3,3,this app uses calendar permission to read calendar,3,5,4,you can use calendar to set calendar,3,4,4
CALENDAR,calendar navigation giving easy access to previous scores and upcoming fixtures,the app uses your calendar,2,5,2,the app read your calendar information,2,5,3,the app uses your calendar,2,5,2
CALENDAR,show calendar events in agenda and select which calendars to show,the app can read your calendar,4,5,4,the app can read calendar,4,5,4,the app can read your calendar,4,5,4
CALENDAR,access event and calendar information,access calendar,4,4,3,add event to your calendar,3,4,4,access calendar,4,4,3
CALENDAR,add event directly to your device or share them with a friend,write calendar and share it,5,5,4,add calendar event and share event,4,4,4,set calendar of your calendar,3,2,4
CALENDAR,show the school calendar for better time and activity management,access calendar,3,4,1,access to your calendar,3,4,2,send your calendar to calendar and make events,3,3,4
CALENDAR,display calendar and schedule of matches,you can write to your calendar,3,5,5,this app uses calendar permission to read calendar,3,5,4,you can write to your calendar,3,5,5
CALENDAR,you can add priority events to the personal calendar on your device,write event calendar,4,2,3,add calendar event,4,2,3,write event calendar,4,2,3
CALENDAR,the calendar module displays all events occurring in the current week,the app can read your calendar,3,5,3,this app uses read calendar permission,2,5,3,set calendar of your calendar,3,3,2
CALENDAR,calendar sync,write event calendar,4,3,4,access calendar information,3,5,4,write event calendar,4,3,4
CALENDAR,make use and manage your calendar,the app uses calendar to read calendar,4,4,5,add calendar event,3,4,2,you can send calendar and make events,4,5,5
CALENDAR,one tap to create and sync a customer meeting with your calendar,write calendar and share it,4,5,4,the app uses calendar permission to write to calendar,3,5,4,write event calendar,4,3,3
CALENDAR,view; edit and update your schedules in calendar ,you can write to your calendar,3,5,4,this app uses calendar permission read calendar and write calendar,3,4,5,you can use calendar,3,5,2
CALENDAR,the app will be used to announce important schedule updates and keep you informed throughout the four-day event,you can write to your calendar,2,5,1,access your device calendar read calendar information,2,3,2,set your calendar to calendar,2,3,1
CALENDAR,create and check calendar events,insert to calendar events and calendar,4,3,4,you can read calendar with your device calendar add calendar events to device calendar,3,3,2,you can send calendar and make events,4,5,4
CALENDAR,access and sync your calendar anytime anywhere,calendar access,4,4,1,this app access calendar of your device calendar,3,4,5,write event calendar,3,4,2
CALENDAR,read calendar events you can get the list of calendar events with all details and descriptions,the app can read your calendar,3,5,2,the app uses read calendar permission to read calendar,3,3,3,send your calendar to calendar and make events,3,3,2
CALENDAR,can create calendar entries for birthdays; anniversaries and other events ,calendar access,3,4,1,add calendar event,3,4,1,access your calendar,3,4,1
CALENDAR,making reminder,you can write to your calendar,3,4,5,access calendar permission,3,4,4,set calendar of your calendar,3,3,4
