Permission,Original Description,Synthesized Descritpion 1,Semantic Rating,Syntax rating,Length rating,Synthesized Descritpion 2,Semantic Rating,Syntax rating,Length rating
CALENDAR,create events today,add calendar event,5,4,5,write event calendar,4,4,5
CALENDAR,view and rsvp to public events; and add events to your phone calendars,you can add events to your device calendar,4,5,3,the app uses calendar to read calendar,3,3,4
CALENDAR,schedule service with your participating dealer,add events and add to your calendar,4,4,5,you can use calendar,4,5,3
CALENDAR,football game will be added to your calendar and update,access calendar to write calendar event,4,4,4,access calendar,3,5,3
CALENDAR,This app provides class schedules,app uses calendar you can add to calendar,3,5,4,write event calendar,3,4,5
CALENDAR,you can view all schedules in calendar; or create a schedule.,you can read calendar and add event to calendar,5,5,5,you can write event calendar,4,5,3
CALENDAR,access events; calendars; contacts; maps and more!,app uses read calendar to read calendar,4,4,4,access access calendar events,4,2,3
CALENDAR,Download the app today to plan and schedule your classes,add event to your calendar,4,5,4,write event calendar,3,4,3
CALENDAR,read; add or modify calendar events; also backup and restore calendar,you can add events to your device calendar,4,5,3,add add add event to the calendar,3,2,3
CALENDAR,add your ticket bookings to your device's calendar to get notifications and integrate with your existing schedule,you can add event and add calendar,4,3,3,access your calendar,3,5,3
CALENDAR,schedule management; display schedule on calendar,app uses read calendar to read calendar,3,3,5,you can write event calendar,3,5,4
CALENDAR,manage room bookings via calendar,app uses read calendar to read calendar,3,4,4,you can write to your calendar,3,5,5
CALENDAR,Set reminders for live broadcasts so you don't miss a program you love,add to calendar set up reminder,4,3,3,you can write event calendar,3,5,3
CALENDAR,the event calendar is also easily accessible from the app,access calendar read event notification,4,3,4,access calendar,3,5,3
CALENDAR,import your appointments to calendar and mark them as mute events,add events and add to your calendar,4,3,3,the app uses your calendar,3,5,3
CALENDAR,set training calendars; reminders,you can add event and add calendar,3,5,5,access calendar,3,5,4
CALENDAR,notification academic calendar events and institutional notices,the app can read calendar and add calendar events,4,5,4,you can write to your calendar,3,5,4
CALENDAR,check out what?'?s on to plan your calendar and buy tickets to events,write event to calendar of your device,2,4,3,the app uses calendar to read calendar,2,3,3
CALENDAR,find incidents near your calendar events,get location and gps data read calendar,5,4,4,calendar access,3,5,3
CALENDAR,access to calendar to link up group member calendar,this app uses calendar permission to read calendar,4,5,5,insert to calendar events and calendar,3,3,4
CALENDAR,calendar navigation giving easy access to previous scores and upcoming fixtures,the app read your calendar information,4,5,4,the app uses your calendar,3,5,3
CALENDAR,show calendar events in agenda and select which calendars to show,the app can read calendar,5,5,3,the app can read your calendar,3,5,3
CALENDAR,access event and calendar information,this app write to your calendar in your device,3,4,4,access calendar,5,2,3
CALENDAR,add event directly to your device or share them with a friend,add calendar event and share event,5,4,4,write calendar and share it,4,5,4
CALENDAR,show the school calendar for better time and activity management,access to your calendar,3,4,3,access calendar,2,2,2
CALENDAR,display calendar and schedule of matches,this app uses calendar permission to read calendar,4,5,4,you can write to your calendar,3,4,5
CALENDAR,you can add priority events to the personal calendar on your device,add calendar event,5,3,3,write event calendar,4,4,4
CALENDAR,the calendar module displays all events occurring in the current week,this app uses read calendar permission,3,5,3,the app can read your calendar,4,5,3
CALENDAR,calendar sync,access calendar information,2,4,4,write event calendar,3,4,4
CALENDAR,make use and manage your calendar,the app you can use your calendar,4,3,5,the app uses calendar to read calendar,3,4,3
CALENDAR,one tap to create and sync a customer meeting with your calendar,the app uses calendar permission to write to calendar,3,4,3,write calendar and share it,5,4,3
CALENDAR,view; edit and update your schedules in calendar ,this app uses calendar permission read calendar and write calendar,4,4,4,you can write to your calendar,3,4,4
CALENDAR,the app will be used to announce important schedule updates and keep you informed throughout the four-day event,access your device calendar read calendar information,3,3,3,you can write to your calendar,3,5,3
CALENDAR,create and check calendar events,you can read calendar with your device calendar add calendar events to device calendar,3,3,3,insert to calendar events and calendar,5,3,5
CALENDAR,access and sync your calendar anytime anywhere,this app access calendar of your device calendar,4,5,4,calendar access,3,2,2
CALENDAR,read calendar events you can get the list of calendar events with all details and descriptions,the app uses read calendar permission to read calendar,4,4,4,the app can read your calendar,3,5,3
CALENDAR,can create calendar entries for birthdays; anniversaries and other events ,add calendar event,4,4,3,calendar access,3,5,3
CALENDAR,making reminder,access calendar permission,3,5,4,you can write to your calendar,4,5,4
CALENDAR,add special notes to cards and personal reminders to your calendar,you can add events to your device calendar,5,5,4,the app uses calendar to read calendar,3,4,3
CALENDAR,While you can preview events in the a Calendar Store app you need to purchase a yearly subscription to sync to your Android calendars (free 60 minute test available),add events and add to your calendar,2,3,3,add add add event to the calendar,3,1,3
CALENDAR,Contacts/Calendar; so Offi can route you to your contacts or location from a calendar event; store a connection in your calendar or e-mail it to your friends ,this app will use read calendar permission,3,5,3,access calendar,3,2,2
